"","visual"
"multimodal",0.4
"document",0.39
"affordability",0.35
"beautifully",0.35
"candidacies",0.35
"carolyn",0.35
"centrality",0.35
"constellations",0.35
"design",0.35
"employmentycp",0.35
"engineers",0.35
"exceeds",0.35
"followed",0.35
"fwis",0.35
"groomed",0.35
"holistic",0.35
"jobsvt",0.35
"landscaped",0.35
"meticulously",0.35
"michie",0.35
"morse",0.35
"patty",0.35
"pattym",0.35
"payne",0.35
"pragmatic",0.35
"pwc",0.35
"rude",0.35
"safety",0.35
"security",0.35
"stated",0.35
"warrant",0.35
"ycp",0.35
"interaction",0.33
"county",0.32
"airport",0.31
"comprise",0.31
"doc",0.31
"oral",0.31
"results",0.31
"surrounding",0.31
"york",0.3
"professional",0.29
"writing",0.29
"documented",0.28
"driven",0.28
"foundational",0.28
"pennsylvania",0.28
"tutors",0.28
"written",0.28
"rhetoric",0.27
