"","rhetoric"
"composition",0.67
"rhetorical",0.42
"confirmation",0.32
"employee",0.32
"healthcare",0.32
"portland",0.32
"rates",0.32
"reduced",0.32
"rotate",0.32
"sase",0.32
"spouse",0.32
"videoconferencing",0.32
"theory",0.3
"writing",0.3
"curricula",0.28
"administration",0.27
"theorgy",0.27
"govst",0.26
"night",0.26
"qualification",0.26
"tuition",0.26
"weekends",0.26
"rhetorics",0.23
"contribute",0.22
"mediated",0.22
"related",0.22
"aimed",0.21
"ajo",0.21
"clearance",0.21
"comstock",0.21
"distributed",0.21
"dmvw",0.21
"employing",0.21
"entirety",0.21
"even",0.21
"explaining",0.21
"grammars",0.21
"hawaii",0.21
"identified",0.21
"michelle",0.21
"minne",0.21
"mpanek",0.21
"onlineclassroom",0.21
"originals",0.21
"panek",0.21
"pedagogy",0.21
"populated",0.21
"recognize",0.21
"securing",0.21
"significantly",0.21
