"","writing"
"rhetoric",0.42
"composition",0.41
"administration",0.39
"firstyear",0.39
"program",0.38
"creative",0.32
"workshops",0.32
"experience",0.3
"disciplines",0.29
"across",0.27
"center",0.27
"assessment",0.25
"pedagogy",0.25
"teaching",0.25
"alternating",0.24
"dealy",0.24
"fordham",0.24
"fordhams",0.24
"gambito",0.24
"httpwwwfordham",0.24
"prizes",0.24
"writerresidence",0.24
"bronx",0.23
"administer",0.22
"construct",0.22
"gere",0.22
"professional",0.22
"rose",0.22
"ruggles",0.22
"sweetland",0.22
"writers",0.22
"advanced",0.21
"director",0.21
"minor",0.21
"sample",0.21
"administrative",0.2
"first",0.2
"hill",0.2
"jil",0.2
"listing",0.2
"literacy",0.2
"mfa",0.2
"uwp",0.2
"workshop",0.2
"duties",0.19
"httpapplyinterfoliocom",0.19
"lecturers",0.19
"publication",0.19
"renewable",0.19
"two",0.19
