"","composition"
"rhetoric",0.65
"writing",0.42
"administration",0.38
"first",0.38
"pedagogy",0.37
"invigorate",0.34
"mtpc",0.34
"ratings",0.34
"auburn",0.33
"adjuncts",0.29
"nacogdoches",0.29
"paths",0.29
"piney",0.29
"program",0.29
"sanders",0.29
"sfa",0.29
"sfas",0.29
"instituted",0.27
"trs",0.27
"town",0.26
"year",0.26
"supervising",0.25
"reduced",0.24
"unified",0.24
"concentration",0.23
"minor",0.23
"planned",0.23
"legally",0.22
"robust",0.22
"teachers",0.22
"teaching",0.22
"civic",0.21
"literacies",0.21
"professional",0.21
"administrative",0.2
"assoc",0.2
"aum",0.2
"basic",0.2
"coordinating",0.2
"darren",0.2
"dharrisf",0.2
"fain",0.2
"harris",0.2
"literacy",0.2
"mtw",0.2
"ready",0.2
"stephen",0.2
"woodworth",0.2
"allied",0.19
"assessment",0.19
