"","Total"
"teaching",1985
"writing",1745
"online",1263
"literature",973
"research",891
"studies",770
"phd",764
"experience",727
"program",658
"composition",647
"tenure",618
"year",596
"track",569
"teach",535
"opportunity",522
"students",522
"equal",499
"candidate",492
"letters",489
"rhetoric",481
"successful",464
"one",454
"arts",451
"american",444
"curriculum",443
"full",427
"information",415
"new",415
"begin",406
"creative",406
"time",399
"diversity",384
"submit",355
"including",353
"state",352
"excellence",348
"field",346
"professional",345
"level",335
"humanities",332
"academic",330
"first",330
"digital",327
"action",324
"review",324
"affirmative",315
"also",313
"related",312
"work",307
"education",304
