"","media"
"imaging",0.59
"added",0.57
"affiliations",0.57
"alowen",0.57
"avant",0.57
"cathedral",0.57
"cooperatives",0.57
"cultivated",0.57
"ddmp",0.57
"decades",0.57
"dick",0.57
"digitally",0.57
"disseminate",0.57
"expecting",0.57
"filmmaker",0.57
"filmmakers",0.57
"garde",0.57
"imagine",0.57
"interdepartmental",0.57
"lowenstein",0.57
"momentum",0.57
"obsolescence",0.57
"pitt",0.57
"pittsburgh",0.57
"publics",0.57
"televisual",0.57
"vanguard",0.57
"wolf",0.57
"production",0.56
"dignity",0.51
"produce",0.51
"animation",0.48
"film",0.48
"cinema",0.47
"adam",0.46
"examples",0.46
"activism",0.45
"digital",0.45
"equality",0.45
"gaming",0.44
"emergence",0.42
"platforms",0.42
"portfolio",0.42
"considers",0.4
"consolidate",0.4
"filmmaking",0.4
"involves",0.4
"remains",0.4
"new",0.39
"recognizes",0.39
